equipment_id,bank_id,equipment_type,manufacturer,model,timestamp,health_score,status
EQ-284662-PIA-01,284662,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.2,OK
EQ-280932-PIA-01,280932,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,88.7,OK
EQ-28116-PIA-01,28116,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,92.7,OK
EQ-28147-PIA-01,28147,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,85.1,OK
EQ-281518-PIA-01,281518,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.2,OK
EQ-283867-PIA-01,283867,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,86.8,OK
EQ-284582-PIA-01,284582,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,94.7,OK
EQ-284663-PIA-01,284663,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,94.6,OK
EQ-285056-PIA-01,285056,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.2,OK
EQ-285221-PIA-01,285221,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.7,OK
EQ-285229-PIA-01,285229,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,92.2,OK
EQ-285309-PIA-01,285309,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,90.9,OK
EQ-285319-PIA-01,285319,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.1,OK
EQ-280921-PIA-01,280921,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,85.9,OK
EQ-281313-PIA-01,281313,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.0,OK
EQ-281314-PIA-01,281314,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,85.4,OK
EQ-281315-PIA-01,281315,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,87.5,OK
EQ-281316-PIA-01,281316,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,92.4,OK
EQ-28142-PIA-01,28142,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,88.8,OK
EQ-2829-PIA-01,2829,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,90.7,OK
EQ-284591-PIA-01,284591,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,93.9,OK
EQ-2901-PIA-01,2901,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,85.4,OK
EQ-280902-PIA-01,280902,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,86.4,OK
EQ-280926-PIA-01,280926,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.1,OK
EQ-280929-PIA-01,280929,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,93.1,OK
EQ-283444-PIA-01,283444,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,89.9,OK
EQ-283789-PIA-01,283789,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,90.8,OK
EQ-284399-PIA-01,284399,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,90.0,OK
EQ-284586-PIA-01,284586,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,92.0,OK
EQ-284598-PIA-01,284598,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,87.0,OK
EQ-284669-PIA-01,284669,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,93.8,OK
EQ-284670-PIA-01,284670,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,86.8,OK
EQ-284672-PIA-01,284672,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,89.3,OK
EQ-284963-PIA-01,284963,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,94.1,OK
EQ-2881-PIA-01,2881,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,92.6,OK
EQ-28106-PIA-01,28106,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,90.5,OK
EQ-281755-PIA-01,281755,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,84.7,Watch
EQ-2831-PIA-01,2831,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.1,OK
EQ-283394-PIA-01,283394,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.5,OK
EQ-283774-PIA-01,283774,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,93.6,OK
EQ-283889-PIA-01,283889,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,89.0,OK
EQ-284583-PIA-01,284583,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,91.5,OK
EQ-284592-PIA-01,284592,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,85.7,OK
EQ-284665-PIA-01,284665,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,88.6,OK
EQ-284666-PIA-01,284666,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,93.1,OK
EQ-284667-PIA-01,284667,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.0,OK
EQ-284671-PIA-01,284671,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,92.8,OK
EQ-284732-PIA-01,284732,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.7,OK
EQ-2851-PIA-01,2851,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,88.7,OK
EQ-2930-PIA-01,2930,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,86.8,OK
EQ-2934-PIA-01,2934,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,87.6,OK
EQ-2803-PIA-01,2803,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,86.0,OK
EQ-280913-PIA-01,280913,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,90.6,OK
EQ-280937-PIA-01,280937,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.5,OK
EQ-281328-PIA-01,281328,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.5,OK
EQ-28141-PIA-01,28141,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,92.3,OK
EQ-281752-PIA-01,281752,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,85.9,OK
EQ-281768-PIA-01,281768,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,94.6,OK
EQ-282639-PIA-01,282639,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.8,OK
EQ-282640-PIA-01,282640,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.2,OK
EQ-282825-PIA-01,282825,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,87.5,OK
EQ-2837-PIA-01,2837,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,92.4,OK
EQ-2845-PIA-01,2845,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,87.6,OK
EQ-284926-PIA-01,284926,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.3,OK
EQ-285220-PIA-01,285220,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,94.6,OK
EQ-2810-PIA-01,2810,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.4,OK
EQ-28139-PIA-01,28139,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,86.1,OK
EQ-282622-PIA-01,282622,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.1,OK
EQ-282626-PIA-01,282626,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,90.1,OK
EQ-283243-PIA-01,283243,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,90.6,OK
EQ-283563-PIA-01,283563,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.5,OK
EQ-283873-PIA-01,283873,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,85.9,OK
EQ-284017-PIA-01,284017,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.3,OK
EQ-2843-PIA-01,2843,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,88.9,OK
EQ-284561-PIA-01,284561,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.3,OK
EQ-284596-PIA-01,284596,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.4,OK
EQ-2879-PIA-01,2879,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,88.9,OK
EQ-2885-PIA-01,2885,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,85.4,OK
EQ-2889-PIA-01,2889,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,92.2,OK
EQ-2893-PIA-01,2893,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,87.8,OK
EQ-2895-PIA-01,2895,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,84.5,Watch
EQ-2927-PIA-01,2927,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,88.2,OK
EQ-280928-PIA-01,280928,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,89.5,OK
EQ-28104-PIA-01,28104,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.1,OK
EQ-28105-PIA-01,28105,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,87.5,OK
EQ-281318-PIA-01,281318,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,85.3,OK
EQ-281319-PIA-01,281319,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,94.3,OK
EQ-283772-PIA-01,283772,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,87.2,OK
EQ-283808-PIA-01,283808,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,91.7,OK
EQ-284023-PIA-01,284023,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,93.7,OK
EQ-284097-PIA-01,284097,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,87.7,OK
EQ-284212-PIA-01,284212,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,89.7,OK
EQ-284404-PIA-01,284404,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,90.2,OK
EQ-284584-PIA-01,284584,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,92.8,OK
EQ-284585-PIA-01,284585,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.5,OK
EQ-2848-PIA-01,2848,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,87.6,OK
EQ-285324-PIA-01,285324,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,86.9,OK
EQ-285332-PIA-01,285332,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,89.1,OK
EQ-2871-PIA-01,2871,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.8,OK
EQ-2907-PIA-01,2907,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,87.1,OK
EQ-280936-PIA-01,280936,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,91.9,OK
EQ-28127-PIA-01,28127,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,89.5,OK
EQ-28128-PIA-01,28128,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.0,OK
EQ-28129-PIA-01,28129,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,92.8,OK
EQ-28130-PIA-01,28130,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,90.3,OK
EQ-2828-PIA-01,2828,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.0,OK
EQ-282819-PIA-01,282819,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,86.7,OK
EQ-283485-PIA-01,283485,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,92.9,OK
EQ-284373-PIA-01,284373,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,90.8,OK
EQ-284587-PIA-01,284587,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.3,OK
EQ-284758-PIA-01,284758,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,85.3,OK
EQ-284964-PIA-01,284964,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,92.4,OK
EQ-285333-PIA-01,285333,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,87.3,OK
EQ-285334-PIA-01,285334,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.3,OK
EQ-2891-PIA-01,2891,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.2,OK
EQ-280916-PIA-01,280916,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,89.2,OK
EQ-28133-PIA-01,28133,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,87.0,OK
EQ-28136-PIA-01,28136,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,94.6,OK
EQ-281486-PIA-01,281486,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.8,OK
EQ-281493-PIA-01,281493,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,86.3,OK
EQ-281502-PIA-01,281502,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,94.6,OK
EQ-281506-PIA-01,281506,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,90.9,OK
EQ-282656-PIA-01,282656,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.7,OK
EQ-283379-PIA-01,283379,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,91.5,OK
EQ-283520-PIA-01,283520,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.1,OK
EQ-283845-PIA-01,283845,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,91.8,OK
EQ-283954-PIA-01,283954,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,88.5,OK
EQ-284214-PIA-01,284214,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,92.7,OK
EQ-284315-PIA-01,284315,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,86.2,OK
EQ-284457-PIA-01,284457,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,93.9,OK
EQ-284674-PIA-01,284674,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,91.0,OK
EQ-284675-PIA-01,284675,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,90.4,OK
EQ-284680-PIA-01,284680,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,89.3,OK
EQ-285314-PIA-01,285314,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,93.2,OK
EQ-2903-PIA-01,2903,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,94.5,OK
EQ-2937-PIA-01,2937,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,85.0,OK
EQ-2938-PIA-01,2938,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,90.4,OK
EQ-284879-PIA-01,284879,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.8,OK
EQ-285322-PIA-01,285322,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.1,OK
EQ-2858-PIA-01,2858,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.8,OK
EQ-280938-PIA-01,280938,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,87.0,OK
EQ-28124-PIA-01,28124,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,93.2,OK
EQ-28126-PIA-01,28126,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,89.4,OK
EQ-28131-PIA-01,28131,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,84.7,Watch
EQ-28132-PIA-01,28132,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.5,OK
EQ-281332-PIA-01,281332,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,90.0,OK
EQ-281336-PIA-01,281336,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,86.5,OK
EQ-281338-PIA-01,281338,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,92.6,OK
EQ-2825-PIA-01,2825,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,94.6,OK
EQ-282628-PIA-01,282628,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.8,OK
EQ-283466-PIA-01,283466,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,93.3,OK
EQ-283484-PIA-01,283484,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,93.5,OK
EQ-283516-PIA-01,283516,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.2,OK
EQ-283863-PIA-01,283863,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,86.6,OK
EQ-283962-PIA-01,283962,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,87.2,OK
EQ-283963-PIA-01,283963,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,91.1,OK
EQ-283968-PIA-01,283968,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,90.0,OK
EQ-284213-PIA-01,284213,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,90.2,OK
EQ-284336-PIA-01,284336,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,94.5,OK
EQ-284673-PIA-01,284673,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.2,OK
EQ-284692-PIA-01,284692,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,90.9,OK
EQ-284694-PIA-01,284694,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,93.0,OK
EQ-285097-PIA-01,285097,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.9,OK
EQ-285308-PIA-01,285308,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.5,OK
EQ-2894-PIA-01,2894,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,92.7,OK
EQ-2909-PIA-01,2909,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.7,OK
EQ-281344-PIA-01,281344,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,89.9,OK
EQ-281462-PIA-01,281462,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.9,OK
EQ-281471-PIA-01,281471,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,92.4,OK
EQ-281474-PIA-01,281474,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,90.7,OK
EQ-281477-PIA-01,281477,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,91.4,OK
EQ-281496-PIA-01,281496,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,91.1,OK
EQ-282636-PIA-01,282636,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.2,OK
EQ-284011-PIA-01,284011,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.1,OK
EQ-284020-PIA-01,284020,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,92.1,OK
EQ-2841-PIA-01,2841,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,91.4,OK
EQ-284676-PIA-01,284676,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,87.1,OK
EQ-284677-PIA-01,284677,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.0,OK
EQ-284678-PIA-01,284678,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.4,OK
EQ-284679-PIA-01,284679,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,86.9,OK
EQ-2913-PIA-01,2913,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,89.4,OK
EQ-280931-PIA-01,280931,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,89.7,OK
EQ-280934-PIA-01,280934,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,93.7,OK
EQ-281322-PIA-01,281322,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,89.5,OK
EQ-281323-PIA-01,281323,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.7,OK
EQ-282624-PIA-01,282624,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,91.8,OK
EQ-283783-PIA-01,283783,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,88.7,OK
EQ-284215-PIA-01,284215,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.4,OK
EQ-284216-PIA-01,284216,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,92.6,OK
EQ-284217-PIA-01,284217,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.4,OK
EQ-284559-PIA-01,284559,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,87.6,OK
EQ-284593-PIA-01,284593,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,89.0,OK
EQ-284595-PIA-01,284595,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,87.7,OK
