alert_id,bank_id,start_timestamp,end_timestamp,duration_min,max_temperature,agitation_off_minutes,severity
AL-000026,16051,2026-08-21T22:00:00,2026-08-21T22:23:00,24,22.55,24,High
AL-000027,16107,2026-08-22T02:40:00,2026-08-22T02:49:00,10,22.01,10,High
AL-000028,16107,2026-08-22T17:23:00,2026-08-22T17:34:00,12,24.85,0,Medium
AL-000029,1708,2026-08-21T09:21:00,2026-08-21T09:44:00,24,25.41,0,High
AL-000030,1708,2026-08-21T16:00:00,2026-08-21T16:29:00,30,22.64,30,High
AL-000031,1759,2026-08-21T13:26:00,2026-08-21T13:41:00,16,22.22,16,High
AL-000032,1759,2026-08-22T10:16:00,2026-08-22T10:33:00,18,25.18,0,High
AL-000033,18024,2026-08-21T16:49:00,2026-08-21T17:15:00,27,22.41,27,High
AL-000034,18031,2026-08-21T05:50:00,2026-08-21T06:02:00,13,24.96,0,Medium
AL-000035,18031,2026-08-21T19:20:00,2026-08-21T19:47:00,28,22.47,28,High
AL-000036,18035,2026-08-21T18:51:00,2026-08-21T19:08:00,18,22.48,18,High
AL-000037,18035,2026-08-22T09:41:00,2026-08-22T09:50:00,10,24.69,0,Medium
AL-000038,18037,2026-08-21T21:18:00,2026-08-21T22:02:00,45,25.47,0,High
AL-000039,18037,2026-08-22T10:06:00,2026-08-22T10:15:00,10,22.18,10,High
AL-000040,18044,2026-08-21T09:32:00,2026-08-21T10:20:00,49,25.42,0,High
AL-000041,18044,2026-08-22T08:23:00,2026-08-22T08:54:00,32,22.66,32,High
AL-000042,18052,2026-08-21T06:04:00,2026-08-21T06:04:00,1,24.09,0,Medium
AL-000043,18052,2026-08-22T11:14:00,2026-08-22T11:28:00,15,22.04,15,High
AL-000044,18055,2026-08-22T06:30:00,2026-08-22T06:47:00,18,22.59,18,High
AL-000045,18055,2026-08-22T08:59:00,2026-08-22T09:41:00,43,25.44,0,High
AL-000046,18069,2026-08-22T03:15:00,2026-08-22T03:25:00,11,22.27,11,High
AL-000047,18073,2026-08-21T10:36:00,2026-08-21T10:36:00,1,24.01,0,Medium
AL-000048,18073,2026-08-21T10:38:00,2026-08-21T11:03:00,26,25.17,0,High
AL-000049,18073,2026-08-22T15:59:00,2026-08-22T16:25:00,27,22.65,27,High
AL-000050,18288,2026-08-21T06:11:00,2026-08-21T06:55:00,45,25.45,0,High
AL-000051,18288,2026-08-22T21:20:00,2026-08-22T21:44:00,25,22.69,25,High
AL-000052,22120,2026-08-21T18:53:00,2026-08-21T19:41:00,49,25.35,0,High
AL-000053,22120,2026-08-21T22:23:00,2026-08-21T22:55:00,33,22.56,33,High
AL-000054,23176,2026-08-21T12:18:00,2026-08-21T12:26:00,9,22.24,9,Medium
AL-000055,23176,2026-08-22T20:05:00,2026-08-22T20:46:00,42,25.13,0,High
AL-000056,27107,2026-08-21T12:28:00,2026-08-21T12:44:00,17,22.55,17,High
AL-000057,28002,2026-08-22T07:34:00,2026-08-22T07:58:00,25,22.45,25,High
AL-000058,28002,2026-08-22T11:43:00,2026-08-22T11:44:00,2,24.07,0,Medium
AL-000059,28022,2026-08-21T12:05:00,2026-08-21T12:05:00,1,24.01,0,Medium
AL-000060,28022,2026-08-21T12:07:00,2026-08-21T12:56:00,50,25.44,0,High
AL-000061,28022,2026-08-21T23:18:00,2026-08-21T23:37:00,20,22.29,20,High
AL-000062,280224,2026-08-21T19:50:00,2026-08-21T20:09:00,20,25.1,0,High
AL-000063,280224,2026-08-22T17:26:00,2026-08-22T17:46:00,21,22.31,21,High
AL-000064,280294,2026-08-21T16:26:00,2026-08-21T17:09:00,44,25.13,0,High
AL-000065,280294,2026-08-22T12:09:00,2026-08-22T12:27:00,19,22.5,19,High
AL-000066,280357,2026-08-21T13:13:00,2026-08-21T13:22:00,10,22.24,10,High
AL-000067,280357,2026-08-21T22:32:00,2026-08-21T22:54:00,23,25.15,0,High
AL-000068,280372,2026-08-21T23:44:00,2026-08-21T23:56:00,13,24.82,0,Medium
AL-000069,280372,2026-08-22T21:58:00,2026-08-22T22:25:00,28,22.6,28,High
AL-000070,280381,2026-08-22T00:18:00,2026-08-22T01:02:00,45,25.48,0,High
AL-000071,280381,2026-08-22T13:46:00,2026-08-22T14:15:00,30,22.48,30,High
AL-000072,280399,2026-08-22T04:19:00,2026-08-22T04:30:00,12,22.22,12,High
AL-000073,280402,2026-08-21T09:46:00,2026-08-21T10:03:00,18,25.29,0,High
AL-000074,280402,2026-08-22T17:12:00,2026-08-22T17:43:00,32,22.66,32,High
AL-000075,280413,2026-08-21T07:26:00,2026-08-21T08:18:00,53,25.21,0,High
AL-000076,280413,2026-08-21T15:15:00,2026-08-21T15:45:00,31,22.88,31,High
AL-000077,280417,2026-08-21T12:04:00,2026-08-21T13:01:00,58,25.46,18,High
AL-000078,280420,2026-08-21T08:08:00,2026-08-21T08:08:00,1,24.15,0,Medium
AL-000079,280420,2026-08-22T00:31:00,2026-08-22T01:01:00,31,22.89,31,High
AL-000080,280430,2026-08-21T21:13:00,2026-08-21T21:28:00,16,25.15,16,High
AL-000081,280430,2026-08-21T21:30:00,2026-08-21T21:37:00,8,24.6,0,Medium
AL-000082,280459,2026-08-22T11:04:00,2026-08-22T11:22:00,19,22.23,19,High
AL-000083,28049,2026-08-21T07:42:00,2026-08-21T07:42:00,1,24.0,0,Medium
AL-000084,28049,2026-08-21T07:45:00,2026-08-21T07:46:00,2,24.16,0,Medium
AL-000085,28049,2026-08-22T08:16:00,2026-08-22T08:44:00,29,22.52,29,High
AL-000086,280499,2026-08-21T06:54:00,2026-08-21T07:33:00,40,25.37,0,High
AL-000087,280499,2026-08-21T15:34:00,2026-08-21T16:05:00,32,22.8,32,High
AL-000088,280515,2026-08-22T16:26:00,2026-08-22T17:23:00,58,26.21,29,High
AL-000089,28053,2026-08-22T04:17:00,2026-08-22T04:29:00,13,22.24,13,High
AL-000090,280561,2026-08-21T23:46:00,2026-08-22T00:11:00,26,22.59,26,High
AL-000091,280561,2026-08-22T12:38:00,2026-08-22T13:21:00,44,25.4,0,High
AL-000092,28061,2026-08-21T20:16:00,2026-08-21T20:53:00,38,25.17,0,High
AL-000093,28061,2026-08-22T01:25:00,2026-08-22T01:42:00,18,22.3,18,High
AL-000094,280621,2026-08-22T15:25:00,2026-08-22T15:36:00,12,22.32,12,High
AL-000095,280737,2026-08-21T12:04:00,2026-08-21T12:32:00,29,22.88,29,High
AL-000096,280737,2026-08-22T01:29:00,2026-08-22T02:00:00,32,25.19,0,High
AL-000097,280754,2026-08-22T08:26:00,2026-08-22T08:39:00,14,22.12,14,High
AL-000098,280754,2026-08-22T21:13:00,2026-08-22T21:56:00,44,25.52,0,High
AL-000099,282539,2026-08-21T14:02:00,2026-08-21T14:29:00,28,22.44,28,High
AL-000100,282539,2026-08-22T01:53:00,2026-08-22T02:04:00,12,24.69,0,Medium
AL-000101,282634,2026-08-21T04:42:00,2026-08-21T05:16:00,35,25.12,0,High
AL-000102,282634,2026-08-22T03:34:00,2026-08-22T03:48:00,15,22.41,15,High
AL-000103,282678,2026-08-21T22:00:00,2026-08-21T22:29:00,30,22.66,30,High
AL-000104,282678,2026-08-22T07:04:00,2026-08-22T07:06:00,3,24.22,0,Medium
AL-000105,282724,2026-08-21T16:34:00,2026-08-21T16:51:00,18,25.1,0,High
AL-000106,282724,2026-08-21T18:49:00,2026-08-21T19:03:00,15,22.46,15,High
AL-000107,283041,2026-08-21T22:19:00,2026-08-21T23:08:00,50,25.18,0,High
AL-000108,283041,2026-08-22T05:04:00,2026-08-22T05:13:00,10,22.0,10,High
AL-000109,283147,2026-08-21T22:48:00,2026-08-21T23:19:00,32,22.5,32,High
AL-000110,283147,2026-08-22T13:06:00,2026-08-22T13:59:00,54,25.24,0,High
AL-000111,283254,2026-08-21T16:41:00,2026-08-21T16:59:00,19,22.27,19,High
AL-000112,283254,2026-08-21T22:06:00,2026-08-21T22:42:00,37,25.27,0,High
AL-000113,283363,2026-08-22T02:33:00,2026-08-22T02:55:00,23,22.47,23,High
AL-000114,283443,2026-08-22T09:48:00,2026-08-22T09:48:00,1,24.0,0,Medium
AL-000115,283443,2026-08-22T10:17:00,2026-08-22T10:44:00,28,22.51,28,High
AL-000116,283753,2026-08-22T11:11:00,2026-08-22T11:36:00,26,22.44,26,High
AL-000117,283812,2026-08-22T01:47:00,2026-08-22T01:47:00,1,24.06,0,Medium
AL-000118,283812,2026-08-22T01:49:00,2026-08-22T02:38:00,50,25.13,0,High
AL-000119,283812,2026-08-22T17:07:00,2026-08-22T17:14:00,8,21.9,8,Medium
AL-000120,283819,2026-08-22T14:58:00,2026-08-22T15:37:00,40,25.45,0,High
AL-000121,283819,2026-08-22T18:17:00,2026-08-22T18:47:00,31,22.83,31,High
AL-000122,283840,2026-08-21T18:53:00,2026-08-21T19:45:00,53,25.36,0,High
AL-000123,283840,2026-08-22T03:56:00,2026-08-22T04:13:00,18,22.45,18,High
AL-000124,283852,2026-08-21T18:24:00,2026-08-21T18:34:00,11,22.33,11,High
AL-000125,283852,2026-08-22T10:14:00,2026-08-22T10:32:00,19,25.2,0,High
AL-000126,284016,2026-08-21T10:49:00,2026-08-21T11:09:00,21,25.06,0,High
AL-000127,284016,2026-08-22T07:44:00,2026-08-22T07:57:00,14,22.09,14,High
AL-000128,284039,2026-08-21T17:14:00,2026-08-21T17:32:00,19,22.23,19,High
AL-000129,284149,2026-08-21T12:45:00,2026-08-21T13:08:00,24,22.64,24,High
AL-000130,284149,2026-08-22T17:02:00,2026-08-22T17:11:00,10,24.74,0,Medium
AL-000131,284161,2026-08-21T21:12:00,2026-08-21T21:28:00,17,22.43,17,High
AL-000132,284161,2026-08-21T23:26:00,2026-08-21T23:26:00,1,24.18,0,Medium
AL-000133,284164,2026-08-22T14:55:00,2026-08-22T14:55:00,1,24.04,0,Medium
AL-000134,284164,2026-08-22T14:57:00,2026-08-22T15:36:00,40,25.5,0,High
AL-000135,284164,2026-08-22T20:10:00,2026-08-22T20:22:00,13,22.06,13,High
AL-000136,284169,2026-08-21T23:05:00,2026-08-21T23:29:00,25,25.14,0,High
AL-000137,284169,2026-08-22T08:13:00,2026-08-22T08:34:00,22,22.25,22,High
AL-000138,284198,2026-08-21T15:47:00,2026-08-21T15:58:00,12,22.4,12,High
AL-000139,284198,2026-08-22T16:27:00,2026-08-22T16:39:00,13,24.86,0,Medium
AL-000140,284640,2026-08-22T11:58:00,2026-08-22T12:32:00,35,25.41,0,High
AL-000141,284640,2026-08-22T14:56:00,2026-08-22T15:12:00,17,22.46,17,High
AL-000142,284774,2026-08-22T06:08:00,2026-08-22T06:39:00,32,22.87,32,High
AL-000143,284774,2026-08-22T20:13:00,2026-08-22T20:55:00,43,25.19,0,High
AL-000144,284885,2026-08-21T16:00:00,2026-08-21T16:29:00,30,22.67,30,High
AL-000145,284885,2026-08-22T08:01:00,2026-08-22T08:18:00,18,25.05,0,High
AL-000146,285105,2026-08-21T20:25:00,2026-08-21T20:43:00,19,22.25,19,High
AL-000147,285105,2026-08-22T00:00:00,2026-08-22T00:33:00,34,25.41,0,High
AL-000148,285106,2026-08-21T05:09:00,2026-08-21T05:21:00,13,24.85,0,Medium
AL-000149,285106,2026-08-22T21:01:00,2026-08-22T21:11:00,11,22.24,11,High
AL-000150,29016,2026-08-22T10:28:00,2026-08-22T10:35:00,8,24.46,0,Medium
AL-000151,29016,2026-08-22T22:20:00,2026-08-22T22:29:00,10,22.14,10,High
AL-000152,29065,2026-08-22T09:31:00,2026-08-22T10:02:00,32,25.44,0,High
AL-000153,29065,2026-08-22T21:17:00,2026-08-22T21:24:00,8,22.26,8,Medium
AL-000154,29074,2026-08-22T09:34:00,2026-08-22T09:47:00,14,25.0,0,Medium
AL-000155,29074,2026-08-22T11:51:00,2026-08-22T12:11:00,21,22.5,21,High
AL-000156,29121,2026-08-22T01:10:00,2026-08-22T01:42:00,33,22.7,33,High
AL-000157,29121,2026-08-22T11:57:00,2026-08-22T12:35:00,39,25.43,0,High
AL-000158,29146,2026-08-21T09:06:00,2026-08-21T09:39:00,34,25.43,0,High
AL-000159,29146,2026-08-22T04:38:00,2026-08-22T04:54:00,17,22.16,17,High
AL-000160,29150,2026-08-21T05:37:00,2026-08-21T05:37:00,1,24.01,0,Medium
AL-000161,29150,2026-08-21T05:39:00,2026-08-21T05:39:00,1,24.13,0,Medium
AL-000162,29150,2026-08-21T13:01:00,2026-08-21T13:31:00,31,22.69,31,High
AL-000163,30001,2026-08-22T00:59:00,2026-08-22T01:51:00,53,25.38,0,High
AL-000164,30001,2026-08-22T16:32:00,2026-08-22T16:53:00,22,22.37,22,High
AL-000165,30005,2026-08-21T13:50:00,2026-08-21T14:09:00,20,22.2,20,High
AL-000166,30005,2026-08-22T16:25:00,2026-08-22T17:07:00,43,25.23,0,High
AL-000167,30010,2026-08-22T09:44:00,2026-08-22T10:39:00,56,25.44,0,High
AL-000168,30010,2026-08-22T20:51:00,2026-08-22T21:17:00,27,22.7,27,High
AL-000169,30019,2026-08-21T07:38:00,2026-08-21T08:07:00,30,25.1,0,High
AL-000170,30019,2026-08-22T18:53:00,2026-08-22T19:07:00,15,22.36,15,High
AL-000171,30032,2026-08-21T21:22:00,2026-08-21T21:54:00,33,25.46,0,High
AL-000172,30032,2026-08-22T04:31:00,2026-08-22T04:54:00,24,22.33,24,High
AL-000173,30036,2026-08-22T01:48:00,2026-08-22T02:19:00,32,22.53,32,High
AL-000174,30036,2026-08-22T21:11:00,2026-08-22T22:02:00,52,25.49,0,High
AL-000175,30037,2026-08-22T05:28:00,2026-08-22T05:48:00,21,22.35,21,High
AL-000176,30037,2026-08-22T17:16:00,2026-08-22T18:06:00,51,25.3,0,High
AL-000177,30038,2026-08-21T18:54:00,2026-08-21T19:49:00,56,25.33,0,High
AL-000178,30038,2026-08-22T09:42:00,2026-08-22T10:14:00,33,22.82,33,High
AL-000179,30099,2026-08-21T22:34:00,2026-08-21T23:26:00,53,25.11,0,High
AL-000180,30099,2026-08-22T09:11:00,2026-08-22T09:19:00,9,22.25,9,Medium
AL-000181,30111,2026-08-22T03:19:00,2026-08-22T03:50:00,32,22.84,32,High
AL-000182,30111,2026-08-22T16:39:00,2026-08-22T16:52:00,14,24.85,0,Medium
AL-000183,30120,2026-08-21T12:04:00,2026-08-21T12:05:00,2,24.2,0,Medium
AL-000184,30120,2026-08-22T05:39:00,2026-08-22T06:07:00,29,22.67,29,High
AL-000185,30153,2026-08-21T13:13:00,2026-08-21T14:06:00,54,25.25,0,High
AL-000186,30153,2026-08-22T15:02:00,2026-08-22T15:15:00,14,22.28,14,High
AL-000187,30154,2026-08-21T07:13:00,2026-08-21T07:15:00,3,24.25,0,Medium
AL-000188,30154,2026-08-22T15:41:00,2026-08-22T16:08:00,28,22.71,28,High
AL-000189,30160,2026-08-21T16:48:00,2026-08-21T17:11:00,24,25.07,0,High
AL-000190,30160,2026-08-22T21:34:00,2026-08-22T21:48:00,15,22.47,15,High
AL-000191,30168,2026-08-21T22:31:00,2026-08-21T22:37:00,7,24.4,0,Medium
AL-000192,30168,2026-08-22T02:12:00,2026-08-22T02:22:00,11,21.99,11,High
AL-000193,30173,2026-08-22T20:08:00,2026-08-22T20:25:00,18,22.18,18,High
AL-000194,30247,2026-08-21T12:24:00,2026-08-21T12:36:00,13,25.01,0,High
AL-000195,30247,2026-08-21T19:34:00,2026-08-21T19:43:00,10,22.03,10,High
AL-000196,32026,2026-08-21T15:59:00,2026-08-21T16:23:00,25,22.57,25,High
AL-000197,32026,2026-08-22T10:33:00,2026-08-22T10:44:00,12,24.7,0,Medium
AL-000198,32087,2026-08-21T20:30:00,2026-08-21T20:38:00,9,21.96,9,Medium
AL-000199,32087,2026-08-22T02:10:00,2026-08-22T02:58:00,49,25.26,0,High
AL-000200,33125,2026-08-21T17:57:00,2026-08-21T18:10:00,14,22.26,14,High
AL-000201,36105,2026-08-21T09:17:00,2026-08-21T09:51:00,35,25.45,0,High
AL-000202,36105,2026-08-21T15:31:00,2026-08-21T15:48:00,18,22.47,18,High
AL-000203,36120,2026-08-21T10:24:00,2026-08-21T11:01:00,38,25.17,0,High
AL-000204,36120,2026-08-22T13:36:00,2026-08-22T13:44:00,9,22.06,9,Medium
AL-000205,36151,2026-08-22T01:57:00,2026-08-22T02:17:00,21,22.26,21,High
AL-000206,36151,2026-08-22T15:07:00,2026-08-22T15:57:00,51,25.47,0,High
AL-000207,490,2026-08-21T14:03:00,2026-08-21T14:38:00,36,25.13,0,High
AL-000208,490,2026-08-21T14:57:00,2026-08-21T15:09:00,13,22.23,13,High
AL-000209,546,2026-08-22T18:47:00,2026-08-22T19:16:00,30,25.36,0,High
AL-000210,546,2026-08-22T20:43:00,2026-08-22T20:50:00,8,22.07,8,Medium
AL-000211,7012,2026-08-22T15:26:00,2026-08-22T16:52:00,87,25.74,33,High
AL-000212,778,2026-08-21T13:06:00,2026-08-21T13:13:00,8,22.19,8,Medium
AL-000213,778,2026-08-22T08:01:00,2026-08-22T08:02:00,2,24.06,0,Medium
AL-000214,794,2026-08-22T17:35:00,2026-08-22T17:42:00,8,21.98,8,Medium
AL-000215,803,2026-08-21T17:36:00,2026-08-21T18:23:00,48,25.35,0,High
AL-000216,803,2026-08-22T15:50:00,2026-08-22T16:17:00,28,22.65,28,High
AL-000217,806,2026-08-22T00:12:00,2026-08-22T00:20:00,9,24.65,0,Medium
AL-000218,806,2026-08-22T06:36:00,2026-08-22T06:52:00,17,22.45,17,High
AL-000219,94116,2026-08-21T21:26:00,2026-08-21T21:49:00,24,25.49,0,High
AL-000220,94116,2026-08-22T14:58:00,2026-08-22T15:11:00,14,22.29,14,High
AL-000221,97105,2026-08-21T13:00:00,2026-08-21T13:25:00,26,22.57,26,High
AL-000222,97105,2026-08-22T02:45:00,2026-08-22T03:22:00,38,25.37,0,High
AL-000223,99103,2026-08-22T03:17:00,2026-08-22T03:17:00,1,24.06,0,Medium
AL-000224,99103,2026-08-22T06:23:00,2026-08-22T06:54:00,32,22.88,32,High
AL-000225,99210,2026-08-22T02:04:00,2026-08-22T02:18:00,15,25.09,0,High
AL-000226,99210,2026-08-22T20:49:00,2026-08-22T21:02:00,14,22.28,14,High
AL-000227,99225,2026-08-21T23:59:00,2026-08-22T00:45:00,47,25.41,0,High
AL-000228,99225,2026-08-22T21:50:00,2026-08-22T21:57:00,8,22.31,8,Medium
AL-000229,99238,2026-08-22T10:48:00,2026-08-22T11:06:00,19,22.22,19,High
