date,source_bank,destination_bank,recommended_units,distance_km,travel_time_min,priority,reason
2026-08-22,283958,283268,9,0.0,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,10164,283191,6,0.88,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,24136,280457,7,2.74,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,283965,11053,7,47.62,74,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284320,282740,6,7.94,29,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,285234,283719,6,2.38,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,282743,96112,6,3.57,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284941,30010,5,6.2,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,281317,284691,8,0.53,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284847,99130,7,2.62,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,585,504,8,3.11,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,18140,283142,9,44.87,78,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,99114,284219,6,28.8,61,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,15157,280372,6,0.88,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,99185,724,8,1.48,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,283612,28077,9,4.11,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,18146,284361,5,3.92,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284305,23120,6,79.36,142,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,1731,728,6,0.0,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284359,18049,13,5.16,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,280748,284314,7,4.17,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,283392,30082,5,8.71,30,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,30021,285143,8,25.73,51,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,283888,284118,9,0.96,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,847,280455,6,1.23,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,10163,10120,6,5.33,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,283242,36156,6,0.93,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,6003,6001,5,5.94,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,282777,11053,8,48.29,91,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,280911,280912,6,2.78,23,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284847,99130,5,2.62,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,283470,283000,5,3.18,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284363,284398,6,0.0,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284577,283563,5,1.8,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,10152,10109,5,5.86,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,282600,282746,11,1.51,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,28127,285334,6,7.71,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,18124,280130,8,9.78,33,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,24140,284971,6,2.43,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284195,283136,6,0.68,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,30067,30010,5,0.0,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,280429,283834,8,3.13,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284294,284298,7,1.69,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,285072,30060,11,72.6,146,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,554,557,6,0.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,30196,280659,5,5.04,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,11048,11005,7,0.28,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,94135,27011,9,1.4,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,284629,16030,5,35.93,56,High,Balance surplus against predicted 72-hour stockout risk
2026-08-23,16008,282791,6,2.94,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,16005,16016,8,33.04,65,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283607,280237,7,6.96,29,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,24138,858,6,1.55,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284435,7032,5,1.73,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283757,1713,7,0.7,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,30286,283268,6,0.0,8,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,30079,30038,6,0.0,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284334,280561,7,2.34,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,99133,284724,5,0.83,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,280555,284455,5,0.7,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,24139,284971,7,5.45,25,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,280642,282813,5,1.51,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284438,283626,5,1.53,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283605,282974,12,2.21,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283830,283570,9,1.23,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,280512,284272,8,3.63,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284591,2829,7,2.45,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,1718,2713,7,0.0,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,28072,283634,6,0.0,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,282777,11053,6,48.29,91,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,282796,16017,8,0.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,280273,283384,9,0.86,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284602,282684,5,1.69,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284702,281696,8,4.62,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,27098,284346,7,1.9,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284100,21105,5,4.77,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283763,283552,7,3.06,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283388,28077,5,0.98,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,18130,18097,6,3.27,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,33105,284024,10,5.47,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,15110,15068,7,17.84,36,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283472,30008,7,1.09,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283566,846,8,7.56,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,18045,18050,5,5.26,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283477,619,7,1.47,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,6003,285320,7,5.87,25,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,99223,283841,6,2.63,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284291,455,5,0.15,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,285336,283976,5,0.0,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,30062,30024,5,35.34,55,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,10156,283191,6,1.79,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,29068,29124,8,0.0,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284689,2808,6,0.82,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284230,283985,5,2.35,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,283470,283000,13,3.18,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,10151,10109,5,1.58,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,94135,27011,5,1.4,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,21106,32087,10,7.04,23,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,629,618,10,1.48,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284524,283952,5,1.4,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,280938,2842,7,1.47,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,23142,284469,11,0.0,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284696,280208,10,0.0,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,23157,285321,5,104.16,182,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,16008,284893,6,2.76,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,3010,12104,6,3.84,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,20147,14032,8,0.0,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284254,18223,5,0.45,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,22139,284324,6,4.16,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,22164,7023,6,1.68,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,30067,30010,12,0.0,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,284776,96107,15,35.68,60,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,280385,32066,6,28.26,57,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,32090,32023,7,146.83,286,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,30220,284276,6,2.67,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-24,22143,280502,9,11.9,32,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283199,283153,5,3.2,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283209,281224,9,7.32,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283533,36151,7,1.05,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284700,281552,5,1.99,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280323,29007,6,1.02,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,23184,587,6,8.8,28,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,2885,283243,10,0.0,8,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284566,280549,8,3.17,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,29083,280418,7,2.74,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283322,283404,5,2.17,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,23013,34103,9,3.15,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,27098,94152,8,3.84,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,30226,30161,6,2.36,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284294,283956,8,1.11,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,282777,11066,7,5.34,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,30025,282704,5,0.0,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,30068,283268,7,0.0,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,30067,30010,7,0.0,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284334,280561,8,2.34,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,30091,280228,7,32.5,51,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283547,282880,6,0.0,9,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284648,28103,7,0.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284847,99130,8,2.62,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,282763,11002,7,5.21,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,14045,20108,7,2.3,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,28026,283673,15,0.45,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284005,283753,8,0.0,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284891,16018,6,5.87,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,1543,567,11,35.59,68,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284321,29001,6,0.7,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,28090,28074,5,4.66,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,281565,281719,5,2.7,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280920,283963,10,0.35,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,27062,94116,5,0.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284435,7032,7,1.73,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,10164,283193,7,0.63,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280429,283834,7,3.13,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,282744,11018,7,0.68,9,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,282397,98104,7,5.08,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284320,282740,7,7.94,29,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280240,28008,8,1.06,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,30044,30013,6,0.0,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280148,18123,17,3.3,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,657,609,10,4.76,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,774,284182,5,8.21,29,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,99138,283384,7,1.75,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284132,767,6,3.37,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,285099,23156,6,0.29,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,826,825,7,0.0,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280730,618,5,1.51,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,33129,283919,5,5.48,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,281189,281063,5,2.25,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,21101,32057,5,3.22,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,18124,280131,8,8.79,26,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284614,284618,5,3.09,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284127,94115,5,40.86,64,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,96116,11005,5,2.25,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,1820,280514,7,3.48,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283308,283985,7,0.84,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284776,96107,7,35.68,60,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,1819,833,8,91.71,131,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280631,285124,5,1.64,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284014,285274,8,4.25,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283950,282814,5,1.56,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,283315,95105,11,5.1,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,280555,284455,5,0.7,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284313,284801,6,4.4,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,15130,29132,5,4.38,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,284315,281506,11,5.79,25,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,14035,14042,6,14.76,36,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,30260,33112,5,10.09,25,High,Balance surplus against predicted 72-hour stockout risk
2026-08-25,282755,283396,5,2.4,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,861,24104,9,2.6,23,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,280429,280524,9,2.89,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,285239,285282,5,0.07,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,24130,24111,6,4.39,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,284230,283985,9,2.35,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,30052,30038,6,0.0,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,872,283154,5,1.43,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,282620,2906,6,2.21,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,30296,30015,8,65.64,116,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,282763,11002,6,5.21,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,280437,28148,9,1.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,284292,414,6,0.73,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,2885,283243,7,0.0,8,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,283184,280561,8,1.48,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,2913,2851,5,0.0,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,280156,10168,6,0.0,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,283965,11053,5,47.62,74,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,797,99199,8,1.88,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,283460,732,9,3.88,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,20119,284121,5,6.54,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,280240,28008,9,1.06,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,28038,283675,5,2.68,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,15083,15139,8,0.45,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,466,1416,7,4.03,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,284435,7032,9,1.73,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,2837,280747,5,7.04,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,23142,284469,5,0.0,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,18141,18201,8,0.0,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,28063,285079,6,0.29,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,284321,29001,6,0.7,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,99232,280570,7,0.81,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,23155,567,8,35.51,65,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,1817,284971,5,42.26,71,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,27098,284346,5,1.9,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,282684,282678,6,1.62,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,285066,97127,10,0.0,11,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,18099,282586,16,1.63,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,282047,30182,7,33.36,57,High,Balance surplus against predicted 72-hour stockout risk
2026-08-26,28145,2930,10,27.02,55,High,Balance surplus against predicted 72-hour stockout risk
