source_bank,destination_bank,distance_km,travel_time_min,vehicle_id,capacity,refrigerated
284586,2901,4.45,15,VH-284586-1,24,True
284586,2881,4.45,21,VH-284586-2,36,True
284586,2887,4.45,24,VH-284586-3,60,True
284598,280929,3.25,16,VH-284598-1,36,True
284598,284963,6.61,23,VH-284598-2,36,True
284598,283789,6.96,23,VH-284598-3,60,True
284669,284672,2.83,15,VH-284669-1,24,True
284669,284670,3.62,15,VH-284669-2,60,True
284669,280929,6.46,20,VH-284669-3,60,True
284670,284672,3.17,23,VH-284670-1,36,True
284670,284669,3.62,22,VH-284670-2,48,True
284670,284586,6.41,26,VH-284670-3,24,True
284672,284669,2.83,19,VH-284672-1,36,True
284672,284670,3.17,14,VH-284672-2,24,True
284672,284586,8.84,26,VH-284672-3,24,True
284963,283789,0.47,9,VH-284963-1,48,True
284963,283444,2.8,21,VH-284963-2,60,True
284963,280926,3.68,21,VH-284963-3,60,True
2881,2901,0.0,8,VH-2881-1,24,True
2881,2887,0.0,8,VH-2881-2,48,True
2881,2894,0.0,12,VH-2881-3,60,True
28106,284665,1.75,18,VH-28106-1,36,True
28106,281755,5.29,25,VH-28106-2,36,True
28106,283889,5.29,24,VH-28106-3,48,True
281755,284666,2.14,12,VH-281755-1,36,True
281755,284583,2.37,17,VH-281755-2,60,True
281755,283889,3.05,18,VH-281755-3,24,True
2831,2904,0.0,17,VH-2831-1,36,True
2831,284671,50.53,80,VH-2831-2,24,True
2831,2930,58.78,104,VH-2831-3,36,True
283394,283774,1.18,18,VH-283394-1,60,True
283394,284732,2.16,19,VH-283394-2,48,True
283394,284592,3.87,23,VH-283394-3,48,True
283774,283394,1.18,13,VH-283774-1,36,True
283774,284732,2.48,15,VH-283774-2,36,True
283774,284592,3.97,17,VH-283774-3,48,True
283889,284666,1.69,14,VH-283889-1,48,True
283889,281755,3.05,14,VH-283889-2,48,True
283889,284665,3.61,20,VH-283889-3,24,True
284583,284666,2.35,17,VH-284583-1,24,True
284583,281755,2.37,17,VH-284583-2,24,True
284583,283889,4.01,21,VH-284583-3,24,True
284592,283394,3.87,20,VH-284592-1,24,True
284592,283774,3.97,19,VH-284592-2,60,True
284592,2934,5.87,22,VH-284592-3,24,True
284665,28106,1.75,12,VH-284665-1,60,True
284665,283889,3.61,18,VH-284665-2,60,True
284665,281755,3.69,21,VH-284665-3,36,True
284666,283889,1.69,20,VH-284666-1,24,True
284666,281755,2.14,12,VH-284666-2,36,True
284666,284583,2.35,18,VH-284666-3,60,True
284667,2934,0.97,12,VH-284667-1,24,True
284667,2930,1.65,20,VH-284667-2,24,True
284667,284583,4.95,19,VH-284667-3,48,True
284671,2930,8.8,24,VH-284671-1,60,True
284671,284667,8.85,25,VH-284671-2,24,True
284671,2934,9.43,28,VH-284671-3,60,True
284732,283394,2.16,19,VH-284732-1,48,True
284732,283774,2.48,17,VH-284732-2,24,True
284732,284666,4.24,19,VH-284732-3,24,True
2851,2913,0.0,17,VH-2851-1,60,True
2851,2919,12.48,34,VH-2851-2,24,True
2851,285322,15.7,40,VH-2851-3,60,True
2930,284667,1.65,12,VH-2930-1,48,True
2930,2934,2.55,18,VH-2930-2,24,True
2930,284583,6.57,24,VH-2930-3,60,True
2934,284667,0.97,19,VH-2934-1,48,True
2934,2930,2.55,12,VH-2934-2,48,True
2934,284583,4.24,15,VH-2934-3,48,True
2803,28130,50.37,84,VH-2803-1,48,True
2803,285100,50.93,109,VH-2803-2,36,True
2803,281769,54.28,93,VH-2803-3,24,True
280913,285220,3.18,17,VH-280913-1,36,True
280913,282825,3.42,15,VH-280913-2,24,True
280913,281328,3.9,15,VH-280913-3,36,True
280937,282825,2.38,22,VH-280937-1,48,True
280937,281768,2.9,22,VH-280937-2,24,True
280937,282639,3.25,15,VH-280937-3,36,True
281328,282639,1.19,13,VH-281328-1,24,True
281328,285220,1.54,12,VH-281328-2,60,True
281328,282825,1.86,16,VH-281328-3,24,True
28141,28149,0.0,8,VH-28141-1,24,True
28141,2877,0.0,13,VH-28141-2,24,True
28141,2867,0.0,12,VH-28141-3,24,True
281752,284926,0.81,16,VH-281752-1,60,True
281752,281768,2.33,13,VH-281752-2,36,True
281752,282640,3.98,15,VH-281752-3,60,True
281768,282640,1.89,13,VH-281768-1,60,True
281768,284926,1.97,16,VH-281768-2,36,True
281768,281752,2.33,18,VH-281768-3,48,True
282639,281328,1.19,10,VH-282639-1,36,True
282639,282825,2.51,15,VH-282639-2,60,True
282639,285220,2.55,14,VH-282639-3,60,True
282640,281768,1.89,12,VH-282640-1,36,True
282640,280937,3.79,20,VH-282640-2,60,True
282640,284926,3.81,16,VH-282640-3,24,True
282825,281328,1.86,18,VH-282825-1,36,True
282825,280937,2.38,20,VH-282825-2,60,True
282825,282639,2.51,19,VH-282825-3,36,True
2837,283364,5.25,23,VH-2837-1,24,True
2837,280747,7.04,24,VH-2837-2,60,True
2837,28118,7.19,29,VH-2837-3,60,True
2845,2906,0.0,16,VH-2845-1,36,True
2845,2842,0.0,16,VH-2845-2,36,True
2845,28113,0.0,16,VH-2845-3,60,True
284926,281752,0.81,16,VH-284926-1,60,True
284926,281768,1.97,11,VH-284926-2,36,True
284926,280937,3.7,19,VH-284926-3,36,True
285220,281328,1.54,17,VH-285220-1,60,True
285220,282639,2.55,21,VH-285220-2,48,True
285220,282825,2.84,21,VH-285220-3,48,True
2810,282626,2.49,18,VH-2810-1,60,True
2810,284561,2.9,21,VH-2810-2,60,True
2810,284596,3.37,18,VH-2810-3,48,True
28139,2927,1.42,12,VH-28139-1,60,True
28139,285331,1.51,10,VH-28139-2,48,True
28139,2811,1.89,13,VH-28139-3,36,True
282622,282626,2.26,14,VH-282622-1,36,True
282622,2893,2.72,15,VH-282622-2,24,True
282622,284596,3.09,15,VH-282622-3,48,True
282626,282622,2.26,11,VH-282626-1,36,True
282626,2889,2.28,12,VH-282626-2,24,True
282626,2810,2.49,19,VH-282626-3,24,True
283243,283726,0.0,10,VH-283243-1,24,True
283243,28121,0.0,11,VH-283243-2,24,True
283243,2885,0.0,13,VH-283243-3,24,True
283563,28116,1.36,13,VH-283563-1,48,True
283563,281738,1.42,17,VH-283563-2,24,True
283563,284577,1.8,18,VH-283563-3,48,True
283873,283563,2.02,14,VH-283873-1,60,True
283873,284577,2.21,14,VH-283873-2,24,True
283873,28116,3.31,15,VH-283873-3,48,True
284017,283873,5.58,19,VH-284017-1,48,True
284017,2893,6.3,21,VH-284017-2,24,True
284017,284577,7.04,20,VH-284017-3,48,True
2843,281759,39.89,86,VH-2843-1,48,True
2843,28145,50.89,80,VH-2843-2,48,True
2843,284671,53.7,94,VH-2843-3,24,True
284561,2810,2.9,20,VH-284561-1,48,True
284561,281745,3.42,17,VH-284561-2,48,True
284561,281537,3.69,23,VH-284561-3,24,True
284596,2893,1.23,14,VH-284596-1,36,True
284596,284577,2.25,16,VH-284596-2,36,True
284596,282622,3.09,14,VH-284596-3,60,True
2879,2895,3.96,15,VH-2879-1,36,True
2879,2889,4.55,17,VH-2879-2,48,True
2879,282626,6.31,19,VH-2879-3,48,True
2885,283726,0.0,14,VH-2885-1,36,True
2885,28121,0.0,13,VH-2885-2,24,True
2885,283243,0.0,8,VH-2885-3,24,True
2889,2895,0.59,10,VH-2889-1,24,True
2889,282626,2.28,20,VH-2889-2,48,True
2889,282622,3.22,21,VH-2889-3,48,True
2893,284596,1.23,15,VH-2893-1,36,True
2893,284577,2.46,14,VH-2893-2,24,True
2893,282622,2.72,21,VH-2893-3,36,True
2895,2889,0.59,13,VH-2895-1,48,True
2895,282626,2.7,17,VH-2895-2,36,True
2895,282622,3.81,21,VH-2895-3,60,True
2927,2811,0.91,14,VH-2927-1,60,True
2927,285309,1.2,14,VH-2927-2,24,True
2927,28139,1.42,15,VH-2927-3,24,True
280928,283772,0.98,16,VH-280928-1,48,True
280928,285332,1.38,18,VH-280928-2,60,True
280928,284584,3.15,14,VH-280928-3,48,True
28104,281318,2.51,17,VH-28104-1,48,True
28104,284584,3.06,17,VH-28104-2,60,True
28104,284023,3.08,19,VH-28104-3,36,True
28105,284585,0.98,10,VH-28105-1,36,True
28105,284212,3.22,21,VH-28105-2,60,True
28105,283808,4.27,22,VH-28105-3,24,True
281318,284023,2.48,19,VH-281318-1,60,True
281318,28104,2.51,18,VH-281318-2,36,True
281318,285324,2.9,16,VH-281318-3,24,True
281319,284584,4.01,20,VH-281319-1,48,True
281319,285332,6.45,19,VH-281319-2,24,True
281319,280928,6.54,18,VH-281319-3,48,True
283772,280928,0.98,19,VH-283772-1,24,True
283772,285332,1.25,15,VH-283772-2,60,True
283772,283808,3.23,23,VH-283772-3,48,True
283808,284212,2.88,13,VH-283808-1,48,True
283808,283772,3.23,22,VH-283808-2,36,True
283808,280928,3.87,19,VH-283808-3,60,True
284023,285324,1.74,11,VH-284023-1,36,True
284023,281318,2.48,15,VH-284023-2,60,True
284023,28104,3.08,15,VH-284023-3,36,True
284097,284212,3.97,15,VH-284097-1,36,True
284097,283808,5.46,25,VH-284097-2,60,True
284097,284585,7.03,26,VH-284097-3,24,True
284212,283808,2.88,13,VH-284212-1,48,True
284212,28105,3.22,16,VH-284212-2,24,True
284212,284585,3.31,14,VH-284212-3,24,True
284404,284585,5.14,18,VH-284404-1,48,True
284404,28105,5.59,20,VH-284404-2,48,True
284404,285324,6.52,21,VH-284404-3,48,True
284584,28104,3.06,19,VH-284584-1,60,True
284584,280928,3.15,13,VH-284584-2,24,True
284584,285332,3.79,24,VH-284584-3,60,True
284585,28105,0.98,10,VH-284585-1,60,True
284585,284212,3.31,21,VH-284585-2,24,True
284585,283808,4.94,24,VH-284585-3,36,True
2848,285332,6.51,25,VH-2848-1,60,True
2848,283772,7.57,26,VH-2848-2,24,True
2848,280928,7.87,29,VH-2848-3,48,True
285324,284023,1.74,14,VH-285324-1,24,True
285324,281318,2.9,20,VH-285324-2,36,True
285324,28104,4.52,23,VH-285324-3,36,True
285332,283772,1.25,19,VH-285332-1,48,True
285332,280928,1.38,12,VH-285332-2,24,True
285332,284584,3.79,21,VH-285332-3,48,True
2871,28149,0.0,8,VH-2871-1,60,True
2871,2877,0.0,12,VH-2871-2,36,True
2871,2867,0.0,12,VH-2871-3,48,True
2907,283726,0.0,17,VH-2907-1,60,True
2907,28121,0.0,13,VH-2907-2,36,True
2907,2885,0.0,15,VH-2907-3,60,True
280936,282819,3.12,17,VH-280936-1,36,True
280936,284758,3.61,20,VH-280936-2,36,True
280936,284964,3.65,16,VH-280936-3,36,True
28127,284587,7.69,21,VH-28127-1,60,True
28127,285334,7.71,24,VH-28127-2,48,True
28127,28128,8.02,26,VH-28127-3,36,True
28128,284758,2.17,12,VH-28128-1,24,True
28128,282819,3.37,22,VH-28128-2,48,True
28128,285334,3.42,21,VH-28128-3,48,True
28129,283520,25.46,63,VH-28129-1,48,True
28129,28127,64.34,102,VH-28129-2,60,True
28129,281307,65.82,128,VH-28129-3,60,True
28130,281307,6.34,21,VH-28130-1,48,True
28130,281311,14.92,42,VH-28130-2,36,True
28130,282645,15.16,34,VH-28130-3,48,True
2828,281691,0.0,18,VH-2828-1,24,True
2828,283353,0.0,8,VH-2828-2,60,True
2828,2807,0.0,9,VH-2828-3,36,True
282819,284964,0.96,12,VH-282819-1,24,True
282819,285334,1.32,15,VH-282819-2,60,True
282819,280936,3.12,14,VH-282819-3,36,True
283485,283726,0.0,18,VH-283485-1,60,True
283485,28121,0.0,12,VH-283485-2,24,True
283485,2885,0.0,14,VH-283485-3,36,True
284373,285333,5.25,25,VH-284373-1,60,True
284373,280936,6.34,23,VH-284373-2,48,True
284373,284964,6.57,17,VH-284373-3,36,True
284587,285334,5.91,24,VH-284587-1,24,True
284587,284964,6.02,19,VH-284587-2,60,True
284587,282819,6.88,21,VH-284587-3,48,True
284758,28128,2.17,17,VH-284758-1,60,True
284758,280936,3.61,21,VH-284758-2,36,True
284758,282819,3.63,20,VH-284758-3,48,True
284964,282819,0.96,16,VH-284964-1,36,True
284964,285334,1.24,18,VH-284964-2,36,True
284964,280936,3.65,17,VH-284964-3,24,True
285333,280936,4.75,23,VH-285333-1,24,True
285333,284373,5.25,24,VH-285333-2,36,True
285333,282819,7.52,24,VH-285333-3,60,True
285334,284964,1.24,10,VH-285334-1,48,True
285334,282819,1.32,11,VH-285334-2,36,True
285334,28128,3.42,14,VH-285334-3,24,True
2891,283726,0.0,13,VH-2891-1,60,True
2891,28121,0.0,17,VH-2891-2,36,True
2891,2885,0.0,17,VH-2891-3,24,True
280916,28133,0.0,10,VH-280916-1,48,True
280916,28136,0.68,10,VH-280916-2,24,True
280916,282656,1.62,17,VH-280916-3,24,True
28133,280916,0.0,17,VH-28133-1,48,True
28133,28136,0.68,13,VH-28133-2,36,True
28133,282656,1.62,13,VH-28133-3,24,True
28136,28133,0.68,16,VH-28136-1,24,True
28136,280916,0.68,11,VH-28136-2,48,True
28136,2903,1.65,19,VH-28136-3,48,True
281486,283845,2.19,15,VH-281486-1,48,True
281486,284680,2.86,22,VH-281486-2,48,True
281486,282656,3.74,15,VH-281486-3,48,True
281493,283954,2.02,15,VH-281493-1,48,True
281493,284674,2.64,21,VH-281493-2,60,True
281493,280916,2.91,19,VH-281493-3,24,True
281502,285314,1.73,13,VH-281502-1,36,True
281502,283954,3.23,15,VH-281502-2,36,True
281502,281493,4.78,22,VH-281502-3,48,True
281506,2903,0.86,19,VH-281506-1,24,True
281506,284674,1.26,17,VH-281506-2,24,True
281506,284457,1.9,14,VH-281506-3,24,True
282656,28133,1.62,19,VH-282656-1,48,True
282656,280916,1.62,13,VH-282656-2,36,True
282656,284680,1.63,18,VH-282656-3,36,True
283379,283845,1.96,17,VH-283379-1,60,True
283379,284680,2.52,18,VH-283379-2,36,True
283379,28136,3.51,22,VH-283379-3,36,True
283520,28129,25.46,46,VH-283520-1,36,True
283520,28130,41.41,65,VH-283520-2,60,True
283520,281307,42.09,69,VH-283520-3,48,True
283845,284680,1.36,13,VH-283845-1,48,True
283845,283379,1.96,14,VH-283845-2,60,True
283845,281486,2.19,17,VH-283845-3,60,True
283954,285314,1.53,16,VH-283954-1,36,True
283954,281493,2.02,16,VH-283954-2,48,True
283954,281502,3.23,18,VH-283954-3,60,True
284214,281506,2.2,15,VH-284214-1,24,True
284214,2903,2.22,17,VH-284214-2,24,True
284214,28136,3.37,19,VH-284214-3,24,True
284315,284214,4.99,17,VH-284315-1,48,True
284315,281506,5.79,25,VH-284315-2,48,True
284315,284457,5.84,17,VH-284315-3,36,True
284457,284674,1.74,12,VH-284457-1,60,True
284457,281506,1.9,17,VH-284457-2,36,True
284457,2903,2.62,17,VH-284457-3,36,True
284674,281506,1.26,13,VH-284674-1,48,True
284674,2903,1.36,15,VH-284674-2,24,True
284674,284457,1.74,12,VH-284674-3,60,True
284675,281502,102.41,145,VH-284675-1,48,True
284675,285314,103.44,165,VH-284675-2,60,True
284675,284315,103.82,164,VH-284675-3,60,True
284680,283845,1.36,19,VH-284680-1,48,True
284680,282656,1.63,18,VH-284680-2,60,True
284680,28136,2.34,16,VH-284680-3,48,True
285314,283954,1.53,11,VH-285314-1,24,True
285314,281502,1.73,18,VH-285314-2,36,True
285314,281493,3.12,13,VH-285314-3,24,True
2903,281506,0.86,18,VH-2903-1,60,True
2903,284674,1.36,16,VH-2903-2,48,True
2903,28136,1.65,14,VH-2903-3,48,True
2937,283726,0.0,16,VH-2937-1,60,True
2937,28121,0.0,10,VH-2937-2,24,True
2937,2885,0.0,13,VH-2937-3,60,True
2938,283726,0.0,13,VH-2938-1,24,True
2938,28121,0.0,17,VH-2938-2,48,True
2938,2885,0.0,12,VH-2938-3,36,True
284879,281681,1.58,12,VH-284879-1,60,True
284879,283601,1.86,13,VH-284879-2,36,True
284879,28131,1.86,14,VH-284879-3,48,True
285322,283601,2.01,20,VH-285322-1,36,True
285322,28131,2.01,19,VH-285322-2,36,True
285322,283353,2.04,17,VH-285322-3,36,True
2858,281691,0.0,11,VH-2858-1,36,True
2858,283353,0.0,8,VH-2858-2,24,True
2858,2828,0.0,17,VH-2858-3,24,True
280938,282620,1.43,15,VH-280938-1,24,True
280938,2906,1.47,13,VH-280938-2,36,True
280938,2842,1.47,19,VH-280938-3,24,True
28124,283726,0.0,17,VH-28124-1,48,True
28124,28121,0.0,9,VH-28124-2,48,True
28124,2885,0.0,8,VH-28124-3,24,True
28126,2906,0.0,10,VH-28126-1,60,True
28126,2842,0.0,14,VH-28126-2,36,True
28126,28113,0.0,9,VH-28126-3,24,True
28131,283601,0.0,10,VH-28131-1,60,True
28131,284879,1.86,16,VH-28131-2,48,True
28131,283353,1.89,18,VH-28131-3,24,True
28132,282620,3.29,16,VH-28132-1,36,True
28132,281338,4.05,17,VH-28132-2,36,True
28132,283466,4.06,22,VH-28132-3,60,True
281332,283466,1.1,10,VH-281332-1,48,True
281332,281306,1.41,19,VH-281332-2,48,True
281332,285097,1.56,11,VH-281332-3,48,True
281336,282620,4.65,24,VH-281336-1,24,True
281336,2825,4.9,25,VH-281336-2,24,True
281336,28132,5.16,23,VH-281336-3,36,True
281338,281306,0.52,17,VH-281338-1,60,True
281338,283466,1.26,19,VH-281338-2,24,True
281338,28149,1.44,16,VH-281338-3,48,True
2825,280938,2.39,15,VH-2825-1,60,True
2825,282620,2.73,15,VH-2825-2,36,True
2825,283794,3.26,13,VH-2825-3,60,True
282628,283516,0.4,11,VH-282628-1,48,True
282628,285097,2.05,13,VH-282628-2,36,True
282628,283863,2.15,21,VH-282628-3,48,True
283466,281332,1.1,15,VH-283466-1,48,True
283466,281306,1.14,18,VH-283466-2,36,True
283466,281338,1.26,14,VH-283466-3,36,True
283484,284336,1.26,16,VH-283484-1,48,True
283484,283863,1.34,20,VH-283484-2,36,True
283484,283963,1.46,16,VH-283484-3,60,True
283516,282628,0.4,14,VH-283516-1,48,True
283516,283863,1.76,15,VH-283516-2,24,True
283516,285097,2.14,14,VH-283516-3,48,True
283863,283484,1.34,17,VH-283863-1,48,True
283863,283516,1.76,17,VH-283863-2,48,True
283863,284661,2.02,21,VH-283863-3,24,True
283962,284694,1.29,12,VH-283962-1,48,True
283962,283516,2.83,16,VH-283962-2,60,True
283962,282628,2.91,13,VH-283962-3,60,True
283963,284336,0.21,13,VH-283963-1,24,True
283963,280920,0.35,12,VH-283963-2,36,True
283963,283484,1.46,18,VH-283963-3,48,True
283968,283515,2.24,17,VH-283968-1,36,True
283968,283466,3.76,19,VH-283968-2,24,True
283968,281332,4.24,18,VH-283968-3,48,True
284213,283794,2.56,17,VH-284213-1,48,True
284213,282824,3.99,16,VH-284213-2,48,True
284213,283503,4.35,20,VH-284213-3,24,True
